iter	MultiClass
271	1.008923288
272	1.008605074
273	1.008350013
274	1.008117251
275	1.008005209
276	1.007825717
277	1.007677023
278	1.007341344
279	1.00721938
280	1.007031038
281	1.006884752
282	1.006710529
283	1.006481877
284	1.006016093
285	1.005875933
286	1.00568049
287	1.005572958
288	1.005511475
289	1.005409863
290	1.00532839
291	1.005114049
292	1.004934224
293	1.004796358
294	1.004621989
295	1.004514161
296	1.004336228
297	1.004186468
298	1.003936736
299	1.003544021
300	1.003339057
301	1.003201201
302	1.003003606
303	1.002791104
304	1.002538809
305	1.002374256
306	1.002278592
307	1.002138457
308	1.00206471
309	1.001900581
310	1.001821119
311	1.001709209
312	1.001633692
313	1.001254834
314	1.001008601
315	1.000880467
316	1.0004253
317	1.000051103
318	0.999754312
319	0.9995528384
320	0.9994331876
321	0.9993779519
322	0.9993453824
323	0.9992389575
324	0.9990839792
325	0.9988870589
326	0.9987949838
327	0.9985553047
328	0.9984470761
329	0.9980191431
330	0.9979020922
331	0.9977393889
332	0.9976622973
333	0.997338775
334	0.9972012921
335	0.9971323696
336	0.9969669474
337	0.9967284351
338	0.9964497911
339	0.9962447997
340	0.9959374675
341	0.9957775631
342	0.995574934
343	0.9954487252
344	0.9951886133
345	0.9950753122
346	0.994929252
347	0.9947136726
348	0.9945660189
349	0.9943764882
350	0.994295162
351	0.9941971812
352	0.9939777526
353	0.9938487923
354	0.993739022
355	0.993274513
356	0.9931579762
357	0.9928130825
358	0.992712475
359	0.992629674
360	0.9925222689
361	0.9924303489
362	0.9922871379
363	0.99214687
364	0.991957264
365	0.9917861517
366	0.9915908776
367	0.9914319432
368	0.9912972508
369	0.99118158
370	0.9910013899
371	0.990879555
372	0.9908150456
373	0.9907546988
374	0.990683702
375	0.9904993664
376	0.9904107763
377	0.9901837177
378	0.9900658256
379	0.9899766379
380	0.9899119922
381	0.9898326165
382	0.9896302285
383	0.9891602298
384	0.9889973079
385	0.9886053498
386	0.9884820419
387	0.9883002919
388	0.9880620904
389	0.9878046775
390	0.9876581584
391	0.9874314008
392	0.9873054547
393	0.987020543
394	0.9869041174
395	0.9867228256
396	0.9866334377
397	0.9865176936
398	0.9864286705
399	0.9862983255
400	0.9862294235
401	0.9861180665
402	0.9860351705
403	0.9858787011
404	0.9857973524
