iter	MultiClass
0	1.19440006
1	0.9311613059
2	0.7676819643
3	0.6690942778
4	0.5932292714
5	0.5365337614
6	0.4962023859
7	0.4663628845
8	0.4388294662
9	0.418353072
10	0.4019729099
11	0.3904526669
12	0.3784863815
13	0.367328919
14	0.3598774317
15	0.3497550765
16	0.3429758805
17	0.3383598629
18	0.333541847
19	0.3273265778
20	0.3215733139
21	0.3173498335
22	0.3121035258
23	0.3084640743
24	0.3055255548
25	0.3019875141
26	0.2989392031
27	0.2963712251
28	0.2928984764
29	0.2907775677
30	0.288052059
31	0.2855700645
32	0.2828089648
33	0.2810686403
34	0.2797915397
35	0.2780479912
36	0.2754324959
37	0.273281919
38	0.2716384619
39	0.2703936309
40	0.2691406285
41	0.2674290316
42	0.2655114221
43	0.2644920997
44	0.2628237049
45	0.2617161244
46	0.2600079679
47	0.2586446786
48	0.2574802405
49	0.2562333914
50	0.2544701952
51	0.2535445217
52	0.2520332502
53	0.2510495223
54	0.2494563128
55	0.2482257786
56	0.2470461532
57	0.2457454596
58	0.2447275891
59	0.2433870177
60	0.2424460551
61	0.2413617669
62	0.2404263627
63	0.2391319638
64	0.2376565739
65	0.2369210164
66	0.2355927987
67	0.2342814621
68	0.2335545831
69	0.232912199
70	0.2322835717
71	0.2316141947
72	0.2309093645
73	0.2300460031
74	0.2288873889
75	0.2280933555
76	0.2272717649
77	0.2267049992
78	0.2254571324
79	0.2245105032
80	0.2238593451
81	0.2229307231
82	0.2222898639
83	0.2214863516
84	0.2207970702
85	0.2202023558
86	0.2195602049
87	0.2190569762
88	0.2185197385
89	0.2178870363
90	0.2172432673
91	0.2166925369
92	0.2160452976
93	0.2153735004
94	0.2143407692
95	0.2140815259
96	0.2135230546
97	0.2130359595
98	0.2123262685
99	0.2118655628
100	0.2112427269
101	0.2106438307
102	0.2104012398
103	0.2097717312
104	0.2087131214
105	0.2081245071
106	0.207741757
107	0.2073351622
108	0.2065315743
109	0.2058960959
110	0.2052981828
111	0.2047259579
112	0.2040327769
113	0.2034893118
114	0.2031072221
115	0.2027194693
116	0.2021011047
117	0.2012934272
118	0.2007012219
119	0.2000961773
120	0.1997307219
121	0.1988827058
122	0.1983825576
123	0.1979127816
124	0.1971321099
125	0.1967914915
126	0.1964077762
127	0.1959106898
128	0.1954258226
129	0.1951605777
130	0.1946996311
131	0.1942565831
132	0.1939397874
133	0.1931707647
134	0.1926902134
135	0.1922395977
136	0.1919959719
137	0.191492053
138	0.1911469323
139	0.1905410052
140	0.1900245941
141	0.1892896034
142	0.1887979184
143	0.1882813255
144	0.1880351768
145	0.1877257062
146	0.1871884794
147	0.1863545098
148	0.1858389116
149	0.1854894935
150	0.1850993852
151	0.1845379845
152	0.1839452449
153	0.1833904325
154	0.1827978272
155	0.1819075868
156	0.1814644323
157	0.1809264516
158	0.1805724175
159	0.1800559168
160	0.1794373668
161	0.1789169178
162	0.1784199799
163	0.1777299595
164	0.1771317836
165	0.1768411453
166	0.1762371762
167	0.1759172948
168	0.1755154248
169	0.1750737332
170	0.1746285791
171	0.1741861835
172	0.1738205266
173	0.1735620783
174	0.172935913
175	0.1724691177
176	0.1720034124
177	0.1715732736
178	0.1712254468
179	0.1710687522
180	0.1706780095
181	0.1699783861
182	0.1695009447
183	0.1690712165
184	0.1687062106
185	0.1682680635
186	0.167709401
187	0.1673599176
188	0.1669298728
189	0.1665829976
190	0.1662215827
191	0.1656850016
192	0.1655327956
193	0.1652613767
194	0.1648628774
195	0.1645239216
196	0.1639621006
197	0.1636678586
198	0.163116428
199	0.1629068923
200	0.1622367201
201	0.1618843856
202	0.161606024
203	0.1613267852
204	0.1609256953
205	0.1605751253
206	0.1599382484
207	0.1596000418
208	0.1590683009
209	0.1585870079
210	0.1583206942
211	0.158069658
212	0.1577650785
213	0.1574864952
214	0.1572233261
215	0.157027337
216	0.1566481302
217	0.1563520411
218	0.1560523521
219	0.1555824383
220	0.1552912283
221	0.1548924374
222	0.1545552363
223	0.154154588
224	0.1537037422
225	0.1534193948
226	0.1532254725
227	0.1529721147
228	0.1525858765
229	0.1523509014
230	0.1520973033
231	0.1518368823
232	0.1513810078
233	0.1510742752
234	0.1506919626
235	0.1505053245
236	0.150272456
237	0.1500172926
238	0.1496900508
239	0.1495555253
240	0.1491932907
241	0.1488894211
242	0.1483686363
243	0.1480695508
244	0.14770639
245	0.1473333039
246	0.1471382906
247	0.1467230028
248	0.1464522641
249	0.1461451818
250	0.1458981129
251	0.1454717072
252	0.1451981296
253	0.1449700681
254	0.1447523598
255	0.144519413
256	0.144364998
257	0.144181844
258	0.1439413299
259	0.1437987682
260	0.1433422357
261	0.1430448455
262	0.1428100635
263	0.1426677884
264	0.1424020302
265	0.1421182366
266	0.1419665564
267	0.1417990693
268	0.1415784657
269	0.1413768372
270	0.1410092157
271	0.140689431
272	0.1403151757
273	0.1401575175
274	0.1399116224
275	0.1395439582
276	0.1391218623
277	0.1389403227
278	0.1386328185
279	0.1382550853
280	0.1381677842
281	0.1379882472
282	0.137490014
283	0.1371853415
284	0.1370451598
285	0.1368960033
286	0.1366903283
287	0.1362529078
288	0.1359776785
289	0.1358026694
290	0.1354762307
291	0.1352176284
292	0.1350066534
293	0.134709152
294	0.1344614774
295	0.1342893069
296	0.1341678051
297	0.1339341319
298	0.1336765412
299	0.1335058059
300	0.133215932
301	0.1329427979
302	0.1327123323
303	0.1325096879
304	0.1322658448
